State,Town,Municipality,Town,Place,Count,Notes,Latitude,Longitude
OAX,San Felipe Tindaco,Heroica Ciudad de Tlaxiaco,San Felipe Tindaco,"San Felipe Tindaco, Heroica Ciudad de Tlaxiaco, Oaxaca",1,,-97.6802361,17.2675625
OAX,,Ixpantepec Nieves,,"Ixpantepec Nieves, Oaxaca",2,,-98.0489859,17.5106174
OAX,Palomares,Matias Romero Avendano,Palomares,"Palomares, Matias Romero Avendano, Oaxaca",1,,-95.0452994,16.8854418
OAX,,Miahuatlan de Porfirio Diaz,,"Miahuatlan de Porfirio Diaz, Oaxaca",7,,-96.5943562,16.3317796
OAX,Buena Vista,Ocotlan de Morelos,Buena Vista,"Buena Vista, Ocotlan de Morelos, Oaxaca",1,,-96.675,16.791389
OAX,,Pluma Hidalgo,,"Pluma Hidalgo, Oaxaca",2,Non-indigenous,-96.4200279,15.9258292
OAX,,Puerto Escondido,,"Puerto Escondido, Oaxaca",2,Non-indigenous,-97.0694471,15.8655354
OAX,,Putla Villa de Guerrero,,"Putla Villa de Guerrero, Oaxaca",1,,-97.9293247,17.0320856
OAX,,San Agustin Amatengo,,"San Agustin Amatengo, Oaxaca",4,,-96.7885304,16.5085234
OAX,,San Agustin Atenango,,"San Agustin Atenango, Oaxaca",2,,-98.0147369,17.6113217
OAX,,San Agustin Chayuco,,"San Agustin Chayuco, Oaxaca",1,,-97.8,16.4
OAX,,San Andres Zabache,,"San Andres Zabache, Oaxaca",2,"Non-indigenous, Zapotec",-96.8579924,16.5990472
OAX,San Agustin Mixtepec,San Cristobal Amatlan,San Agustin Mixtepec,"San Agustin Mixtepec, San Cristobal Amatlan, Oaxaca",1,,-96.4101711,16.3194787
OAX,,San Dionisio del Mar,,"San Dionisio del Mar, Oaxaca",1,Huave,-94.7506374,16.3209964
OAX,,San Francisco Tlapancingo,,"San Francisco Tlapancingo, Oaxaca",1,,-98.268567,17.4841139
OAX,Guadalupe Nogales,San Francisco Tlapancingo,Guadalupe Nogales,"Guadalupe Nogales, San Francisco Tlapancingo, Oaxaca",4,,-98.268567,17.4841139
OAX,San Marcos Natividad,San Francisco Tlapancingo,San Marcos Natividad,"San Marcos Natividad, San Francisco Tlapancingo, Oaxaca",3,,-98.268567,17.4841139
OAX,Yojuela,San Ildefonso Amatlan,Yojuela,"Yojuela, San Ildefonso Amatlan, Oaxaca",6,Zapotec,-96.490774,16.334628
OAX,San Mateo Macuilxochitl,San Jeronimo Tlacochahuaya,San Mateo Macuilxochitl,"San Mateo Macuilxochitl, San Jeronimo Tlacochahuaya, Oaxaca",1,"Zapotec, non-indigenous",-96.5839558,17.0073658
OAX,,San Jorge Nuchita,,"San Jorge Nuchita, Oaxaca",15,,-98.1047219,17.6565312
OAX,Guadalupe de Morelos,San Jorge Nuchita,Guadalupe de Morelos,"Guadalupe de Morelos, San Jorge Nuchita, Oaxaca",31,,-98.1047219,17.6565312
OAX,,San Jose Lachiguiri,,"San Jose Lachiguiri, Oaxaca",2,,-96.3347315,16.3788539
OAX,,San Jose Lachiguiri,,"San Jose Lachiguiri, Oaxaca",41,,-96.3347315,16.3788539
OAX,Nizagoche,San Jose Lachiguiri,Nizagoche,"Nizagoche, San Jose Lachiguiri, Oaxaca",7,,-96.3347315,16.3788539
OAX,San Isidro La Chivigoza,San Jose Lachiguiri,San Isidro La Chivigoza,"San Isidro La Chivigoza, San Jose Lachiguiri, Oaxaca",5,,-96.3347315,16.3788539
OAX,,San José del Peñasco,,"San José del Peñasco, Oaxaca",1,,-96.4938791,16.3191247
OAX,,San Juan Mixtepec - Distrito 08,,"San Juan Mixtepec - Distrito 08, Oaxaca",4,,-97.8327159,17.3599967
OAX,Meson de Guadalupe,San Juan Mixtepec - Distrito 08,Meson de Guadalupe,"Meson de Guadalupe, San Juan Mixtepec - Distrito 08, Oaxaca",1,,-97.8327159,17.3599967
OAX,San Juan Cahuayaxi,San Juan Mixtepec - Distrito 08,San Juan Cahuayaxi,"San Juan Cahuayaxi, San Juan Mixtepec Dto 08, Oaxaca",1,,-68.5214081,-31.5272732
OAX,Santiago Tiño,San Juan Mixtepec - Distrito 08,Santiago Tiño,"Santiago Tiño, San Juan Mixtepec Dto 08, Oaxaca",1,,-70.641997,-33.4691199
OAX,,San Juan Ñumi,,"San Juan Ñumi, Oaxaca",1,,-97.7051877,17.3977716
OAX,,San Martin Peras,,"San Martin Peras, Oaxaca",204,,-98.233333,17.35
OAX,Ahuajatla,San Martin Peras,Ahuajatla,"Ahuajutla, San Martin Peras, Oaxaca",14,,-98.233333,17.35
OAX,Barrio del Carmen,San Martin Peras,Barrio del Carmen,"Barrio del Carmen, San Martin Peras, Oaxaca",1,,-3.845047,43.4455758
OAX,Chiñon,San Martin Peras,Chiñon,"Chiñon, San Martin Peras, Oaxaca",13,,-98.233333,17.35
OAX,El Paredon,San Martin Peras,El Paredon,"El Paredon, San Martin Peras, Oaxaca",5,,-98.233333,17.35
OAX,Guadalupe,San Martin Peras,Guadalupe,"Guadalupe, San Martin Peras, Oaxaca",1,,-98.233333,17.35
OAX,La Escopeta,San Martin Peras,La Escopeta,"La Escopeta, San Martin Peras, Oaxaca",2,,-98.233333,17.35
OAX,La Trinidad Peras,San Martin Peras,La Trinidad Peras,"La Trinidad Peras, San Martin Peras, Oaxaca",1,,-98.233333,17.35
OAX,Las Huertas,San Martin Peras,Las Huertas,"Las Huertas, San Martin Peras, Oaxaca",1,,-98.233333,17.35
OAX,Las Minas,San Martin Peras,Las Minas,"Las Minas, San Martin Peras, Oaxaca",5,,-98.233333,17.35
OAX,Piedra Azul,San Martin Peras,Piedra Azul,"Piedra Azul, San Martin Peras, Oaxaca",5,,-98.233333,17.35
OAX,San Isidro La Raya,San Martin Peras,San Isidro La Raya,"San Isidro La Raya, San Martin Peras, Oaxaca",7,,-98.233333,17.35
OAX,San Juan del Rio,San Martin Peras,San Juan del Rio,"San Juan del Rio, San Martin Peras, Oaxaca",4,,-99.9414162,20.3810837
OAX,San Marcos,San Martin Peras,San Marcos,"San Marcos, San Martin Peras, Oaxaca",2,,-98.233333,17.35
OAX,San Miguel Peras,San Martin Peras,San Miguel Peras,"San Miguel Peras, San Martin Peras, Oaxaca",10,,-98.233333,17.35
OAX,Santiago Petlacala,San Martin Peras,Santiago Petlacala,"Santiago Petlacala, San Martin Peras, Oaxaca",10,,-98.233333,17.35
OAX,,San Mateo Cajonos,,"San Mateo Cajonos, Oaxaca",1,,-96.2073106,17.1598614
OAX,,San Miguel Chicahua,,"San Miguel Chicahua, Oaxaca",1,,-97.1936986,17.6376102
OAX,San Martin Sabinillo,San Miguel Tlacotepec,San Martin Sabinillo,"San Martin Sabinillo, San Miguel Tlacotepec, Oaxaca",1,,-98,17.45
OAX,,San Pedro Mixtepec,,"San Pedro Mixtepec, Oaxaca",1,,-96.2850484,16.2707185
OAX,,San Pedro Pochutla,,"San Pedro Pochutla, Oaxaca",1,"Non-indigenous, Zapotec",-96.4672856,15.7489259
OAX,La Soledad Salinas,San Pedro Quiatoni,La Soledad Salinas,"La Soledad Salinas, San Pedro Quiatoni, Oaxaca",1,,-96.0308607,16.7826999
OAX,,San Sebastian Tecomaxtlahuaca,,"San Sebastian Tecomaxtlahuaca, Oaxaca",2,,-98.033333,17.35
OAX,Cañada de Lobo,San Sebastian Tecomaxtlahuaca,Cañada de Lobo,"Cañada de Lobo, San Sebastian Tecomaxtlahuaca, Oaxaca",4,,-98.033333,17.35
OAX,Guadalupe Nundaco,San Sebastian Tecomaxtlahuaca,Guadalupe Nundaco,"Guadalupe Nundaco, San Sebastian Tecomaxtlahuaca, Oaxaca",5,,-98.033333,17.35
OAX,Rio de Hielo,San Sebastian Tecomaxtlahuaca,Rio de Hielo,"Rio de Hielo, San Sebastian Tecomaxtlahuaca, Oaxaca",2,,-98.033333,17.35
OAX,San Martin Duraznos,San Sebastian Tecomaxtlahuaca,San Martin Duraznos,"San Martin Duraznos, San Sebastian Tecomaxtlahuaca, Oaxaca",51,,-98.033333,17.35
OAX,San Mateo Tunuchi,San Sebastian Tecomaxtlahuaca,San Mateo Tunuchi,"San Mateo Tunuchi, San Sebastian Tecomaxtlahuaca, Oaxaca",1,,-98.033333,17.35
OAX,,San Vicente Coatlan,,"San Vicente Coatlan, Oaxaca",1,Zapotec,-96.85,16.383333
OAX,,Santa Ana Yareni,,"Santa Ana Yareni, Oaxaca",2,Zapotec,-96.6085921,17.3968099
OAX,,Santa Catarina Quioquitani,,Santa Catarina Quioquitani,1,Zapotec,-96.2843862,16.3145975
OAX,,Santa Cruz Xitla,,"Santa Cruz Xitla, Oaxaca",1,Zapotec,-96.6736876,16.3215262
OAX,San Francisco Cozoaltepec,Santa Maria Tonameca,San Francisco Cozoaltepec,"San Francisco Cozoaltepec, Santa Maria Tonameca, Oaxaca",1,"Non-indigenous, Zapotec",-96.5462836,15.7467124
OAX,Rio Mijangos,Santa Maria Zoquitlan,Rio Mijangos,"Río Míjangos, Santa Maria Zoquitlan, Oaxaca",1,Non-indigenous,-96.3539893,16.5597026
OAX,,Santiago Juxtlahuaca,,"Santiago Juxtlahuaca, Oaxaca",11,,-98.0106756,17.3338551
OAX,La Sabana,Santiago Juxtlahuaca,La Sabana,"La Sabana, Santiago Juxtlahuaca, Oaxaca",1,Triqui,-98.0106756,17.3338551
OAX,San Juan Piñas,Santiago Juxtlahuaca,San Juan Piñas,"San Juan Piñas, Santiago Juxtlahuaca, Oaxaca",1,,-98.0106756,17.3338551
OAX,Santa Maria Yucunicoco,Santiago Juxtlahuaca,Santa Maria Yucunicoco,"Santa Maria Yucunicoco, Santiago Juxtlhuaca, Oaxaca",7,,-97.918889,17.237500
OAX,Santiago Naranjos,Santiago Juxtlahuaca,Santiago Naranjos,"Santiago Naranjos, Santiago Juxtlahuaca, Oaxaca",9,,-98.0106756,17.3338551
