[ 'Town',
  'Count',
  '',
  'Notes',
  'Municipality',
  'Longitude',
  'State',
  'Place',
  'Latitude' ]
"Town","Count","","Notes","Municipality","Longitude","State","Place","Latitude"
"","1",null,"","Heroica Ciudad de Juchitan de Zaragoza",16.4406909,"OAX","Heroica Ciudad de Juchitan de Zaragoza, Oaxaca",-95.0221197
"","3",null,"Non-indigenous, Mixtec, Triqui","Heroica Ciudad de Tlaxiaco",17.2675625,"OAX","Heroica Cuidad de Tlaxiaco, Oaxaca",-97.6802361
"San Felipe Tindaco","1",null,"","Heroica Ciudad de Tlaxiaco",17.2675625,"OAX","San Felipe Tindaco, Heroica Ciudad de Tlaxiaco, Oaxaca",-97.6802361
"","2",null,"","Ixpantepec Nieves",17.5106174,"OAX","Ixpantepec Nieves, Oaxaca",-98.04898589999999
"Palomares","1",null,"","Matias Romero Avendano",16.8854418,"OAX","Palomares, Matias Romero Avendano, Oaxaca",-95.04529939999999
"","7",null,"","Miahuatlan de Porfirio Diaz",16.3317796,"OAX","Miahuatlan de Porfirio Diaz, Oaxaca",-96.5943562
"Buena Vista","1",null,"","Ocotlan de Morelos",16.791389,"OAX","Buena Vista, Ocotlan de Morelos, Oaxaca",-96.675
"","2",null,"Non-indigenous","Pluma Hidalgo",15.9258292,"OAX","Pluma Hidalgo, Oaxaca",-96.4200279
"","2",null,"Non-indigenous","Puerto Escondido",15.8655354,"OAX","Puerto Escondido, Oaxaca",-97.06944709999999
"","1",null,"","Putla Villa de Guerrero",17.0320856,"OAX","Putla Villa de Guerrero, Oaxaca",-97.9293247
"","4",null,"","San Agustin Amatengo",16.5085234,"OAX","San Agustin Amatengo, Oaxaca",-96.7885304
"","2",null,"","San Agustin Atenango",17.6113217,"OAX","San Agustin Atenango, Oaxaca",-98.0147369
"","1",null,"","San Agustin Chayuco",16.4,"OAX","San Agustin Chayuco, Oaxaca",-97.8
"","2",null,"Non-indigenous, Zapotec","San Andres Zabache",16.5990472,"OAX","San Andres Zabache, Oaxaca",-96.85799240000001
"San Agustin Mixtepec","1",null,"","San Cristobal Amatlan",16.3194787,"OAX","San Agustin Mixtepec, San Cristobal Amatlan, Oaxaca",-96.4101711
"","1",null,"Huave","San Dionisio del Mar",16.3209964,"OAX","San Dionisio del Mar, Oaxaca",-94.7506374
"","1",null,"","San Francisco Tlapancingo",17.4841139,"OAX","San Francisco Tlapancingo, Oaxaca",-98.26856699999999
"Guadalupe Nogales","4",null,"","San Francisco Tlapancingo",17.4841139,"OAX","Guadalupe Nogales, San Francisco Tlapancingo, Oaxaca",-98.26856699999999
"San Marcos Natividad","3",null,"","San Francisco Tlapancingo",17.4841139,"OAX","San Marcos Natividad, San Francisco Tlapancingo, Oaxaca",-98.26856699999999
"Yojuela","6",null,"Zapotec","San Ildefonso Amatlan",16.334628,"OAX","Yojuela, San Ildefonso Amatlan, Oaxaca",-96.490774
"San Mateo Macuilxochitl","1",null,"Zapotec, non-indigenous","San Jeronimo Tlacochahuaya",17.0073658,"OAX","San Mateo Macuilxochitl, San Jeronimo Tlacochahuaya, Oaxaca",-96.5839558
"","15",null,"","San Jorge Nuchita",17.6565312,"OAX","San Jorge Nuchita, Oaxaca",-98.1047219
"Guadalupe de Morelos","31",null,"","San Jorge Nuchita",17.6565312,"OAX","Guadalupe de Morelos, San Jorge Nuchita, Oaxaca",-98.1047219
"","2",null,"","San Jose Lachiguiri",16.3788539,"OAX","San Jose Lachiguiri, Oaxaca",-96.33473149999999
"","41",null,"","San Jose Lachiguiri",16.3788539,"OAX","San Jose Lachiguiri, Oaxaca",-96.33473149999999
"Nizagoche","7",null,"","San Jose Lachiguiri",16.3788539,"OAX","Nizagoche, San Jose Lachiguiri, Oaxaca",-96.33473149999999
"San Isidro La Chivigoza","5",null,"","San Jose Lachiguiri",16.3788539,"OAX","San Isidro La Chivigoza, San Jose Lachiguiri, Oaxaca",-96.33473149999999
"","1",null,"","San José del Peñasco",16.3191247,"OAX","San José del Peñasco, Oaxaca",-96.49387910000002
"","4",null,"","San Juan Mixtepec - Distrito 08",17.3599967,"OAX","San Juan Mixtepec - Distrito 08, Oaxaca",-97.8327159
